IATA N°,Cia.,Nro. Docto,Fecha Emisi,$/D,CA,CC,TOTAL TRANSAC,VALOR TARIFA,IMP,TASAS & CARGOS,IVA TARIFA,COM STD,COM SUPL,IVA COM,NETO A PAGAR,,OPERACION N°,FACTURA N°,PAX
12345678,3157965169.00,15/07/2019,###############################################################################################################################################################################################################################################################,$,,18887.00,18887.00,,0.00,,,,,,,,,,
12345678,3157965170.00,15/07/2019,###############################################################################################################################################################################################################################################################,$,,18887.00,18887.00,39192.00,6854.40,,0.00,0.00,,,46046.40,,46046,,0.00
12345678,3157965171.00,15/07/2019,###############################################################################################################################################################################################################################################################,$,,18887.00,18887.00,,0.00,,,,,,,,,,
12345678,3157965172.00,15/07/2019,###############################################################################################################################################################################################################################################################,$,,18887.00,18887.00,34463.00,6523.40,,0.00,0.00,,,40986.40,,40986,,0.00
12345678,3157965173.00,15/07/2019,###############################################################################################################################################################################################################################################################,$,,18887.00,18887.00,,0.00,,,,,,,,,,
12345678,3157965174.00,15/07/2019,###############################################################################################################################################################################################################################################################,$,,18887.00,18887.00,34463.00,6523.40,,0.00,0.00,,,40986.40,,40986,,0.00
12345678,3157965175.00,15/07/2019,###############################################################################################################################################################################################################################################################,$,,18887.00,18887.00,,0.00,,,,,,,,,,
12345678,3157965176.00,15/07/2019,###############################################################################################################################################################################################################################################################,$,,18888.00,18888.00,9638.00,543.65,,1057.53,0.00,,,11239.18,,11239,,0.00
12345678,3157965177.00,15/07/2019,###############################################################################################################################################################################################################################################################,$,,18889.00,18889.00,10716.00,702.10,,1175.81,0.00,,,12593.91,,12594,,0.00
12345678,3157965178.00,15/07/2019,###############################################################################################################################################################################################################################################################,$,,18889.00,18889.00,10716.00,702.10,,1175.81,0.00,,,12593.91,,12594,,0.00
12345678,3157965179.00,15/07/2019,###############################################################################################################################################################################################################################################################,$,,18889.00,18889.00,10716.00,702.10,,1175.81,0.00,,,12593.91,,12594,,0.00
12345678,3157965180.00,15/07/2019,###############################################################################################################################################################################################################################################################,$,,18889.00,18889.00,8202.00,588.97,,899.96,0.00,,,9690.93,,9691,,0.00
12345678,3157965181.00,15/07/2019,###############################################################################################################################################################################################################################################################,$,,18890.00,18890.00,2709.00,231.85,,297.25,0.00,,,0.00,,0,,3238.10
12345678,3157965182.00,15/07/2019,###############################################################################################################################################################################################################################################################,$,,18891.00,18891.00,3201.00,253.99,,351.23,0.00,,,0.00,,0,,3806.22
12345678,3157965183.00,15/07/2019,###############################################################################################################################################################################################################################################################,$,,18892.00,18892.00,152423.00,16575.40,,0.00,1524.23,,,167474.17,,168998,,0.00
12345678,3157965184.00,15/07/2019,###############################################################################################################################################################################################################################################################,$,,18892.00,18892.00,,0.00,,,,,,,,,,
12345678,3157965185.00,15/07/2019,###############################################################################################################################################################################################################################################################,$,,18893.00,18893.00,3207.00,364.17,,351.83,0.00,,,3923.00,,3923,,0.00
12345678,3157965186.00,15/07/2019,###############################################################################################################################################################################################################################################################,$,,18893.00,18893.00,3207.00,364.17,,351.83,0.00,,,3923.00,,3923,,0.00
12345678,3157965187.00,15/07/2019,###############################################################################################################################################################################################################################################################,$,,18901.00,18901.00,8558.00,677.59,,939.03,0.00,,,0.00,,0,,10174.62
12345678,3157965188.00,16/07/2019,###############################################################################################################################################################################################################################################################,$,,18902.00,18902.00,3201.00,253.99,,351.23,0.00,,,3806.22,,3806,,0.00
12345678,3157965189.00,16/07/2019,###############################################################################################################################################################################################################################################################,$,,18907.00,18907.00,73520.00,10140.30,,0.00,735.20,,,82925.10,,83660,,0.00
12345678,3157965190.00,16/07/2019,###############################################################################################################################################################################################################################################################,$,,18907.00,18907.00,73520.00,10140.30,,0.00,735.20,,,82925.10,,83660,,0.00
12345678,3157965191.00,16/07/2019,###############################################################################################################################################################################################################################################################,$,,18907.00,18907.00,73520.00,10140.30,,0.00,735.20,,,82925.10,,83660,,0.00
12345678,3157965192.00,16/07/2019,###############################################################################################################################################################################################################################################################,$,,18916.00,18916.00,18011.00,7034.20,,0.00,180.11,,,23973.55,,25045,,0.00
12345678,3157965193.00,16/07/2019,###############################################################################################################################################################################################################################################################,$,,18946.00,18946.00,8116.00,9670.70,,0.00,81.16,,,-884.64,,0,,17786.70
12345678,3157965196.00,16/07/2019,###############################################################################################################################################################################################################################################################,$,,18970.00,18970.00,11623.00,742.92,,1275.33,0.00,,,13641.25,,13641,,0.00
12345678,3157965197.00,16/07/2019,###############################################################################################################################################################################################################################################################,$,,18971.00,18971.00,1496.00,353.10,,0.00,0.00,,,1849.10,,1849,,0.00
12345678,3157965198.00,16/07/2019,###############################################################################################################################################################################################################################################################,$,,18974.00,18974.00,23393.00,28024.10,,0.00,0.00,,,51417.10,,51417,,0.00
12345678,3157965199.00,16/07/2019,###############################################################################################################################################################################################################################################################,$,,18974.00,18974.00,,0.00,,,,,,,,,,
12345678,3157965200.00,16/07/2019,###############################################################################################################################################################################################################################################################,$,,18974.00,18974.00,23393.00,28024.10,,0.00,0.00,,,51417.10,,51417,,0.00
12345678,3157965201.00,16/07/2019,###############################################################################################################################################################################################################################################################,$,,18974.00,18974.00,,0.00,,,,,,,,,,
12345678,3157965202.00,16/07/2019,###############################################################################################################################################################################################################################################################,$,,18979.00,18979.00,5739.00,483.96,,629.71,0.00,,,0.00,,0,,6852.67
12345678,3157965203.00,16/07/2019,###############################################################################################################################################################################################################################################################,$,,18979.00,18979.00,5739.00,483.96,,629.71,0.00,,,0.00,,0,,6852.67
12345678,3157965204.00,16/07/2019,###############################################################################################################################################################################################################################################################,$,,18991.00,18991.00,1914.00,180.46,,210.01,0.00,,,2304.47,,2304,,0.00
12345678,3157965205.00,16/07/2019,###############################################################################################################################################################################################################################################################,$,,18995.00,18995.00,2817.00,236.71,,309.10,0.00,,,3278.30,,3363,,0.00
12345678,3157965206.00,16/07/2019,###############################################################################################################################################################################################################################################################,$,,18996.00,18996.00,12326.00,3857.40,,0.00,0.00,,,16183.40,,16183,,0.00
12345678,3157965207.00,16/07/2019,###############################################################################################################################################################################################################################################################,$,,18996.00,18996.00,12326.00,3857.40,,0.00,0.00,,,16183.40,,16183,,0.00
12345678,3157965208.00,16/07/2019,###############################################################################################################################################################################################################################################################,$,,18997.00,18997.00,5512.00,26091.70,,0.00,55.12,,,31275.74,,31604,,0.00
12345678,3157965209.00,16/07/2019,###############################################################################################################################################################################################################################################################,$,,18998.00,18998.00,1744.00,261.02,,191.36,0.00,,,2196.38,,2196,,0.00
12345678,3157965210.00,16/07/2019,###############################################################################################################################################################################################################################################################,$,,19008.00,19008.00,1989.00,199.45,,218.24,0.00,,,2406.69,,2407,,0.00
12345678,3157965211.00,16/07/2019,###############################################################################################################################################################################################################################################################,$,,19008.00,19008.00,1989.00,199.45,,218.24,0.00,,,2406.69,,2407,,0.00
12345678,3157965212.00,16/07/2019,###############################################################################################################################################################################################################################################################,$,,19009.00,19009.00,1847.00,193.06,,202.66,0.00,,,2242.72,,2243,,0.00
12345678,3157965213.00,16/07/2019,###############################################################################################################################################################################################################################################################,$,,19009.00,19009.00,1847.00,193.06,,202.66,0.00,,,2242.72,,2243,,0.00
12345678,3157965214.00,16/07/2019,###############################################################################################################################################################################################################################################################,$,,19012.00,19012.00,3280.00,417.54,,0.00,0.00,,,3697.54,,3698,,0.00
12345678,3157965215.00,16/07/2019,###############################################################################################################################################################################################################################################################,$,,19012.00,19012.00,3280.00,417.54,,0.00,0.00,,,3697.54,,3698,,0.00
12345678,3157965216.00,16/07/2019,###############################################################################################################################################################################################################################################################,$,,19012.00,19012.00,3280.00,417.54,,0.00,0.00,,,3697.54,,3698,,0.00
12345678,3157965217.00,16/07/2019,###############################################################################################################################################################################################################################################################,$,,19012.00,19012.00,3280.00,417.54,,0.00,0.00,,,3697.54,,3698,,0.00
12345678,3157965218.00,16/07/2019,###############################################################################################################################################################################################################################################################,$,,19014.00,19014.00,3949.00,5699.70,,0.00,0.00,,,0.00,,0,,9648.70
12345678,3157965219.00,16/07/2019,###############################################################################################################################################################################################################################################################,$,,19020.00,19020.00,6052.00,382.28,,664.06,0.00,,,6916.78,,7098,,0.00
12345678,3157965220.00,16/07/2019,###############################################################################################################################################################################################################################################################,$,,19020.00,19020.00,6052.00,382.28,,664.06,0.00,,,6916.78,,7098,,0.00
12345678,3157965221.00,16/07/2019,###############################################################################################################################################################################################################################################################,$,,19020.00,19020.00,0.00,0.00,,0.00,0.00,,,-181.56,,0,,0.00
12345678,3157965222.00,16/07/2019,###############################################################################################################################################################################################################################################################,$,,19023.00,19023.00,1194.00,163.67,,131.01,0.00,,,1452.86,,1489,,0.00
12345678,3157965223.00,16/07/2019,###############################################################################################################################################################################################################################################################,$,,19023.00,19023.00,1194.00,163.67,,131.01,0.00,,,1452.86,,1489,,0.00
12345678,3157965224.00,16/07/2019,###############################################################################################################################################################################################################################################################,$,,19023.00,19023.00,0.00,0.00,,0.00,0.00,,,-35.82,,0,,0.00
12345678,3157965225.00,16/07/2019,###############################################################################################################################################################################################################################################################,$,,19036.00,19036.00,1671.00,185.14,,183.35,0.00,,,2039.49,,2039,,0.00
12345678,3157965226.00,16/07/2019,###############################################################################################################################################################################################################################################################,$,,19037.00,19037.00,5708.00,366.80,,626.31,0.00,,,6701.11,,6701,,0.00
12345678,3157965227.00,16/07/2019,###############################################################################################################################################################################################################################################################,$,,19047.00,19047.00,2551.00,334.65,,279.85,0.00,,,3165.50,,3166,,0.00
12345678,3157965228.00,16/07/2019,###############################################################################################################################################################################################################################################################,$,,19047.00,19047.00,2551.00,334.65,,279.85,0.00,,,3165.50,,3166,,0.00
12345678,3157965229.00,16/07/2019,###############################################################################################################################################################################################################################################################,$,,19052.00,19052.00,15581.00,28530.30,,0.00,155.81,,,43955.49,,44111,,0.00
12345678,3157965230.00,16/07/2019,###############################################################################################################################################################################################################################################################,$,,19055.00,19055.00,15581.00,28530.30,,0.00,155.81,,,43955.49,,44111,,0.00
12345678,3157965231.00,16/07/2019,###############################################################################################################################################################################################################################################################,$,,19060.00,19060.00,1671.00,185.14,,183.35,0.00,,,2039.49,,2039,,0.00
12345678,3157965232.00,16/07/2019,###############################################################################################################################################################################################################################################################,$,,19060.00,19060.00,1504.00,177.62,,165.03,0.00,,,1846.65,,1847,,0.00
12345678,3157965233.00,16/07/2019,###############################################################################################################################################################################################################################################################,$,,19061.00,19061.00,2061.00,202.69,,226.14,0.00,,,2489.83,,2490,,0.00
12345678,3157965234.00,16/07/2019,###############################################################################################################################################################################################################################################################,$,,19061.00,19061.00,1577.00,180.91,,173.04,0.00,,,1930.95,,1931,,0.00
12345678,3157965235.00,16/07/2019,###############################################################################################################################################################################################################################################################,$,,19074.00,19074.00,19487.00,7647.60,,0.00,0.00,,,27134.60,,27135,,0.00
12345678,3157965236.00,16/07/2019,###############################################################################################################################################################################################################################################################,$,,19074.00,19074.00,,0.00,,,,,,,,,,
12345678,3157965237.00,16/07/2019,###############################################################################################################################################################################################################################################################,$,,19074.00,19074.00,19487.00,7647.60,,0.00,0.00,,,27134.60,,27135,,0.00
12345678,3157965238.00,16/07/2019,###############################################################################################################################################################################################################################################################,$,,19074.00,19074.00,,0.00,,,,,,,,,,
12345678,3157965239.00,16/07/2019,###############################################################################################################################################################################################################################################################,$,,19084.00,19084.00,13497.00,6047.60,,0.00,0.00,,,0.00,,0,,19544.60
12345678,3157965240.00,16/07/2019,###############################################################################################################################################################################################################################################################,$,,19084.00,19084.00,13497.00,6047.60,,0.00,0.00,,,0.00,,0,,19544.60
12345678,3157965241.00,16/07/2019,###############################################################################################################################################################################################################################################################,$,,19094.00,19094.00,3663.00,-401.87,,401.87,0.00,,,3663.00,,3663,,0.00
12345678,3157965242.00,16/07/2019,###############################################################################################################################################################################################################################################################,$,,19094.00,19094.00,3663.00,-401.87,,401.87,0.00,,,3663.00,,3663,,0.00
12345678,3157965243.00,16/07/2019,###############################################################################################################################################################################################################################################################,$,,19096.00,19096.00,3950.00,397.63,,433.41,0.00,,,0.00,,0,,4781.04
12345678,3157965244.00,16/07/2019,###############################################################################################################################################################################################################################################################,$,,19096.00,19096.00,3950.00,397.63,,433.41,0.00,,,0.00,,0,,4781.04
12345678,3157965245.00,16/07/2019,###############################################################################################################################################################################################################################################################,$,,19099.00,19099.00,18532.00,30375.70,,0.00,185.32,,,48722.38,,48908,,0.00
12345678,3157965246.00,16/07/2019,###############################################################################################################################################################################################################################################################,$,,19099.00,19099.00,,0.00,,,,,,,,,,
12345678,3157965247.00,16/07/2019,###############################################################################################################################################################################################################################################################,$,,19099.00,19099.00,18532.00,30375.70,,0.00,185.32,,,48722.38,,48908,,0.00
12345678,3157965248.00,16/07/2019,###############################################################################################################################################################################################################################################################,$,,19099.00,19099.00,,0.00,,,,,,,,,,
12345678,3157965249.00,16/07/2019,###############################################################################################################################################################################################################################################################,$,,19126.00,19126.00,2137.00,206.11,,234.48,0.00,,,2577.59,,2578,,0.00
12345678,3157965250.00,16/07/2019,###############################################################################################################################################################################################################################################################,$,,19126.00,19126.00,2137.00,206.11,,234.48,0.00,,,2577.59,,2578,,0.00
12345678,3157965251.00,16/07/2019,###############################################################################################################################################################################################################################################################,$,,19127.00,19127.00,2340.00,215.24,,256.76,0.00,,,2812.00,,2812,,0.00
12345678,3157965252.00,16/07/2019,###############################################################################################################################################################################################################################################################,$,,19127.00,19127.00,2340.00,215.24,,256.76,0.00,,,2812.00,,2812,,0.00
12345678,3157965253.00,16/07/2019,###############################################################################################################################################################################################################################################################,$,,19130.00,19130.00,2037.00,201.61,,223.51,0.00,,,2462.12,,2462,,0.00
